round,match,type,tier,map,team1,team1_players,team2,team2_players,winner,result,result_team
1,1,개인전,애,폴스타,3,손정곤,4,임호진,2,,
1,2,개인전,휴,도미네이터,3,이종열,4,최상균,1,,
1,3,팀전,22,뱀파이어,3,"채원식:T,박지훈",4,"박재창,유태욱",1,,
1,4,개인전,아,투혼,3,양현철,4,정주오,2,,
1,5,팀전,33,헌터,3,"박지훈,양현철,채원식:R",4,"조현용:R,김재우,김이헌",2,,
1,6,개인전,갓,데스밸리,3,문명훈,4,오택삼,2,,
1,7,개인전,에이스,라데온,3,정현우:P:J,4,박가람,2,,
1,1,개인전,애,폴스타,5,박정진,6,김태준,1,,
1,2,개인전,휴,도미네이터,5,변정식,6,이봉철,2,,
1,3,팀전,22,뱀파이어,5,"주효진,김동현",6,"안태영,김태준",1,,
1,4,개인전,아,투혼,5,최수명,6,황정동,1,,
1,5,팀전,33,헌터,5,"주효진:R,변정식,이재혁",6,"조승일,손재현,황정동",1,,
1,6,개인전,갓,데스밸리,5,장민수,6,안태영,2,,
1,7,개인전,에이스,라데온,5,우병진:P:J,6,박지호,2,,
1,1,개인전,애,폴스타,1,김기현,2,공동현,2,,
1,2,개인전,휴,도미네이터,1,전성민,2,김재현,1,,
1,3,팀전,22,뱀파이어,1,"이대연,최성진",2,"강응선,공동현",1,,
1,4,개인전,아,투혼,1,이경성,2,양시찬,1,,
1,5,팀전,33,헌터,1,"이대연:R,강구산,설재근",2,"김재현,경제진:R,양시찬",1,,
1,6,개인전,갓,데스밸리,1,김연섭,2,강응선,2,,
1,7,개인전,에이스,라데온,1,설재근,2,방호석:P:J,2,,
2,1,개인전,휴,데스밸리,1,이창언,3,이종열,1,,
2,2,개인전,갓,폴스타,1,이대연,3,채원식,1,,
2,3,팀전,22,우산국,1,"강구산,설재근",3,"박지훈,양현철",1,,
2,4,개인전,애,이클립스,1,최성진,3,정명열,1,,
2,5,팀전,33,빠무,1,"김연섭,구선웅:P,김현기",3,"손정곤:P,정명열:R,채원식:T",2,,
2,6,개인전,아,폴리포이드,1,설재근,3,양현철,2,,
2,7,개인전,에이스,데자뷰,1,이창언,3,전은후,1,,
2,1,개인전,휴,데스밸리,4,김이헌,6,조승일,2,,
2,2,개인전,갓,폴스타,4,박재창,6,김종성,1,,
2,3,팀전,22,우산국,4,"김동환:Z,김재우",6,"권혁준:Z,박지호",2,,
2,4,개인전,애,이클립스,4,이태경,6,권혁준,2,,
2,5,팀전,33,빠무,4,"이윤종:R,최상균:P,유태욱",6,"안태영:P,김종성,황정동",1,,
2,6,개인전,아,폴리포이드,4,박가람,6,황정동,2,,
2,7,개인전,에이스,데자뷰,4,김주한,6,이봉철,1,,
2,1,개인전,휴,데스밸리,2,이동규,5,주효진,1,,
2,2,개인전,갓,폴스타,2,강응선,5,예의현,1,,
2,3,팀전,22,우산국,2,"공동현,양시찬",5,"공동건,이재혁",2,,
2,4,개인전,애,이클립스,2,공동현,5,공동건,1,,
2,5,팀전,33,빠무,2,"강응선,경제진,방호석",5,"김동현,주효진,변정식:R",1,,
2,6,개인전,아,폴리포이드,2,양시찬,5,이재혁,1,,
2,7,개인전,에이스,데자뷰,2,김경식:Z:J,5,김동현,2,,
3,1,개인전,갓,데자뷰,3,문명훈,5,장민수,1,,
3,2,개인전,아,이클립스,3,임병헌,5,최수명,2,,
